ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_YGE25,2011,89.8,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_AGGREGATE_TOTAL,2011,84.3,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_AGGREGATE_Y15-24,2011,95.2,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_AGGREGATE_Y25-54,2011,79.3,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_AGGREGATE_Y55-64,2011,86.6,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_T,AGE_AGGREGATE_YGE65,2011,89.2,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_TOTAL,2011,77.2,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_Y15-24,2011,94.5,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_Y25-54,2011,69.8,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_Y55-64,2011,78,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_M,AGE_AGGREGATE_YGE65,2011,83.1,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_TOTAL,2011,91.3,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_Y15-24,2011,95.8,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_Y25-54,2011,88.7,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_Y55-64,2011,95.5,,,,R1:3513
AGO,EMP_NIFL_SEX_AGE_RT,BB:13366,SEX_F,AGE_AGGREGATE_YGE65,2011,97.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2012,66.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2012,84.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2012,64.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2012,63.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2012,85.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2012,60.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE15,2012,70.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2012,83.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2012,69.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_TOTAL,2012,66.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y15-24,2012,84.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y25-54,2012,62.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y55-64,2012,68.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_YGE65,2012,88.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_TOTAL,2012,63.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y15-24,2012,85.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y25-54,2012,58.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y55-64,2012,61.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_YGE65,2012,83.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_TOTAL,2012,70.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y15-24,2012,83.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y25-54,2012,66.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y55-64,2012,79.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_YGE65,2012,96.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2013,61,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2013,77.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2013,59.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2013,58.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2013,75.5,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2013,57,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE15,2013,63.5,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2013,79.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2013,62,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_TOTAL,2013,61,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y15-24,2013,77.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y25-54,2013,56.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y55-64,2013,62.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_YGE65,2013,91.5,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_TOTAL,2013,58.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y15-24,2013,75.5,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y25-54,2013,54.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y55-64,2013,57.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_YGE65,2013,90.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_TOTAL,2013,63.5,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y15-24,2013,79.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y25-54,2013,59.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y55-64,2013,71.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_YGE65,2013,93.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2014,65.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2014,74.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2014,64.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2014,67.4,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2014,80.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2014,66.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE15,2014,63.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2014,63.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2014,63.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_TOTAL,2014,65.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y15-24,2014,74.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y25-54,2014,63.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y55-64,2014,66.5,,,,R1:3513
